entry_time,exit_time,dir,entry_px,exit_px,tp1_hit,tp1_pct,exit_pct,total_pnl%,total_usd,equity,exit,bars,at_level,rsi_at_entry,vol_ratio,month
2026-04-06 06:00,2026-04-06 06:15,LONG,69290.31,69151.96,False,0.0,-0.2547,-1.2733,-72.15,5594.58,SL,1,SwingH,56.2,1.0,2026-04
2026-04-12 06:45,2026-04-12 07:30,SHORT,71689.0,71773.93,False,0.0,-0.1735,-0.8674,-48.52,5546.05,TIME,3,SwingH,45.3,1.0,2026-04
2026-04-12 09:15,2026-04-12 10:00,SHORT,71627.53,71654.13,False,0.0,-0.0921,-0.4607,-25.55,5520.5,TIME,3,SwingL,41.2,1.0,2026-04
2026-04-12 17:00,2026-04-12 17:45,SHORT,70932.0,71087.24,False,0.0,-0.2739,-1.3693,-75.59,5444.91,SL,3,RoundN,46.7,1.0,2026-04
2026-04-13 08:30,2026-04-13 09:15,SHORT,70614.92,70760.37,False,0.0,-0.261,-1.3049,-71.05,5373.86,SL,3,SwingL,40.5,1.0,2026-04
2026-04-15 12:00,2026-04-15 12:45,LONG,74233.36,74302.48,False,0.0,0.0381,0.1906,10.24,5384.1,TIME,3,VWAP,53.7,1.0,2026-04
2026-04-22 10:15,2026-04-22 11:00,LONG,78084.46,78177.92,False,0.0,0.0647,0.3235,17.42,5401.52,TIME,3,SwingL,52.4,1.0,2026-04
2026-04-26 11:00,2026-04-26 11:45,LONG,78070.59,78118.01,False,0.0,0.0057,0.0287,1.55,5403.07,TIME,3,SwingL,58.5,1.0,2026-04
2026-04-27 11:00,2026-04-27 11:45,SHORT,77784.82,77847.89,False,0.0,-0.1361,-0.6804,-36.76,5366.3,TIME,3,SwingL,55.0,1.0,2026-04
2026-04-29 09:00,2026-04-29 09:45,LONG,77049.93,77339.99,True,0.1709,0.3215,1.1529,62.19,5428.49,TP2,3,SwingL,38.4,1.0,2026-04
2026-05-01 09:45,2026-05-01 10:30,LONG,77266.0,77229.01,False,0.0,-0.1029,-0.5144,-27.92,5400.57,TIME,3,SwingL,57.4,1.0,2026-05
2026-05-08 13:30,2026-05-08 14:00,SHORT,79574.7,79784.28,False,0.0,-0.3184,-1.5919,-85.97,5314.6,SL,2,RoundN,42.8,1.0,2026-05
2026-05-10 12:30,2026-05-10 13:15,LONG,80915.35,80963.87,False,0.0,0.005,0.0248,1.32,5315.91,TIME,3,RoundN,56.3,1.0,2026-05
2026-05-11 07:00,2026-05-11 07:45,SHORT,80736.02,80722.19,False,0.0,-0.0379,-0.1894,-10.07,5305.85,TIME,3,SwingL,51.4,1.0,2026-05
2026-05-11 14:00,2026-05-11 14:15,LONG,81109.25,80904.01,False,0.0,-0.308,-1.5402,-81.72,5224.13,SL,1,VWAP,51.7,1.0,2026-05
