entry_time,exit_time,session,dir,entry_px,exit_px,tp,sl,atr_at_entry,macro_bias,n_signals,raw_pnl%,net_pnl%,pnl_usd,equity,exit,bars,month
2026-04-27 08:15,2026-04-27 12:30,London,SHORT,4725.6,4716.84,4716.84,4729.98,5.84,SHORT,2,0.1855,0.1695,0.04,10000.13,TP,17,2026-04
2026-04-27 13:30,2026-04-27 14:45,NY,SHORT,4708.0,4696.05,4696.05,4713.97,7.96,SHORT,3,0.2537,0.2377,0.04,10000.17,TP,5,2026-04
2026-04-27 14:45,2026-04-27 22:00,NY,SHORT,4693.2,4700.86,4677.89,4700.86,10.21,SHORT,2,-0.1631,-0.1791,-0.02,10000.15,SL,25,2026-04
2026-04-28 08:00,2026-04-28 11:00,London,SHORT,4634.1,4613.59,4613.59,4644.35,13.67,SHORT,2,0.4425,0.4265,0.04,10000.19,TP,12,2026-04
2026-04-28 11:00,2026-04-28 11:30,London,SHORT,4612.1,4596.55,4596.55,4619.87,10.36,SHORT,2,0.3371,0.3211,0.04,10000.23,TP,2,2026-04
2026-04-28 11:30,2026-04-28 12:00,London,SHORT,4585.1,4593.44,4568.42,4593.44,11.12,SHORT,2,-0.1819,-0.1979,-0.02,10000.21,SL,2,2026-04
2026-04-28 13:30,2026-04-28 17:15,NY,SHORT,4594.7,4607.65,4568.79,4607.65,17.27,SHORT,2,-0.2819,-0.2979,-0.02,10000.18,SL,15,2026-04
2026-04-29 08:00,2026-04-29 08:45,London,SHORT,4578.4,4584.57,4566.06,4584.57,8.23,SHORT,2,-0.1348,-0.1508,-0.02,10000.16,SL,3,2026-04
2026-04-29 09:15,2026-04-29 12:45,London,SHORT,4578.8,4565.07,4565.07,4585.66,9.15,SHORT,2,0.2998,0.2838,0.04,10000.2,TP,14,2026-04
2026-04-29 13:30,2026-04-29 14:00,NY,SHORT,4527.2,4535.51,4510.57,4535.51,11.09,SHORT,2,-0.1837,-0.1997,-0.02,10000.18,SL,2,2026-04
2026-04-29 14:00,2026-04-29 14:30,NY,SHORT,4538.7,4547.84,4520.42,4547.84,12.19,SHORT,2,-0.2014,-0.2174,-0.02,10000.15,SL,2,2026-04
2026-04-29 16:45,2026-04-29 18:30,NY,SHORT,4559.0,4537.77,4537.77,4569.61,14.15,SHORT,2,0.4656,0.4496,0.04,10000.2,TP,7,2026-04
2026-04-30 08:45,2026-04-30 09:15,London,SHORT,4628.4,4636.9,4611.4,4636.9,11.34,SHORT,2,-0.1837,-0.1997,-0.02,10000.17,SL,2,2026-04
2026-04-30 11:00,2026-04-30 13:45,London,SHORT,4648.0,4630.92,4630.92,4656.54,11.39,SHORT,2,0.3674,0.3514,0.04,10000.21,TP,11,2026-04
2026-04-30 13:45,2026-04-30 14:00,NY,SHORT,4623.1,4631.75,4605.81,4631.75,11.53,SHORT,2,-0.187,-0.203,-0.02,10000.19,SL,1,2026-04
2026-04-30 15:30,2026-04-30 22:00,NY,SHORT,4628.5,4637.64,4610.21,4637.64,12.19,SHORT,3,-0.1976,-0.2136,-0.02,10000.17,SL,22,2026-04
2026-05-01 08:00,2026-05-01 12:00,London,SHORT,4585.1,4591.21,4572.87,4591.21,8.15,SHORT,2,-0.1333,-0.1493,-0.02,10000.14,SL,16,2026-05
2026-05-04 08:00,2026-05-04 10:00,London,SHORT,4591.2,4577.42,4577.42,4598.09,9.19,SHORT,2,0.3001,0.2841,0.04,10000.18,TP,8,2026-05
2026-05-04 10:00,2026-05-04 10:30,London,SHORT,4552.0,4559.4,4537.19,4559.4,9.87,SHORT,2,-0.1626,-0.1786,-0.02,10000.16,SL,2,2026-05
2026-05-04 10:30,2026-05-04 12:15,London,SHORT,4568.8,4577.55,4551.29,4577.55,11.67,SHORT,2,-0.1916,-0.2076,-0.02,10000.14,SL,7,2026-05
2026-05-04 15:00,2026-05-04 15:45,NY,SHORT,4559.6,4539.18,4539.18,4569.81,13.61,SHORT,2,0.4479,0.4319,0.04,10000.18,TP,3,2026-05
2026-05-04 15:45,2026-05-05 01:00,NY,SHORT,4531.6,4544.53,4505.75,4544.53,17.24,SHORT,2,-0.2853,-0.3013,-0.02,10000.15,SL,33,2026-05
2026-05-05 09:30,2026-05-05 11:30,London,SHORT,4565.6,4571.63,4553.55,4571.63,8.04,SHORT,2,-0.132,-0.148,-0.02,10000.13,SL,8,2026-05
2026-05-05 15:15,2026-05-05 16:15,NY,SHORT,4590.4,4573.86,4573.86,4598.67,11.03,SHORT,2,0.3604,0.3444,0.04,10000.17,TP,4,2026-05
2026-05-05 16:30,2026-05-05 18:00,NY,SHORT,4567.4,4574.63,4552.94,4574.63,9.64,SHORT,2,-0.1583,-0.1743,-0.02,10000.15,SL,6,2026-05
2026-05-06 08:00,2026-05-06 08:45,London,LONG,4691.4,4704.96,4704.96,4684.62,9.04,LONG,2,0.2891,0.2731,0.04,10000.19,TP,3,2026-05
2026-05-06 08:45,2026-05-06 10:45,London,LONG,4712.0,4727.48,4727.48,4704.26,10.32,LONG,2,0.3286,0.3126,0.04,10000.23,TP,8,2026-05
2026-05-06 10:45,2026-05-06 11:15,London,LONG,4729.6,4720.76,4747.29,4720.76,11.79,LONG,2,-0.187,-0.203,-0.02,10000.2,SL,2,2026-05
2026-05-06 13:30,2026-05-06 16:45,NY,LONG,4706.2,4694.8,4729.0,4694.8,15.2,LONG,2,-0.2422,-0.2582,-0.02,10000.18,SL,13,2026-05
2026-05-07 09:30,2026-05-07 09:45,London,LONG,4747.5,4738.5,4765.5,4738.5,12.0,LONG,2,-0.1896,-0.2056,-0.02,10000.16,SL,1,2026-05
