Date,gold,macro_score,macro_raw,fwd_1,fwd_5
2024-06-13,2300.199951171875,-3.333333333333333,-1,1.3564016969907167,0.7042844759483469
2024-06-14,2331.39990234375,3.333333333333333,1,-0.8149610017955,-0.060045569288336154
2024-06-17,2312.39990234375,-3.333333333333333,-1,0.778412072313106,0.1816379298512638
2024-06-18,2330.39990234375,10.0,3,1.0041257923518065,-1.3388239134620727
2024-06-20,2353.800048828125,-3.333333333333333,-1,-1.5889262345370136,-1.2447976982034814
2024-06-21,2316.39990234375,-3.333333333333333,-1,0.5871221822488115,0.4878280652961253
2024-06-24,2330.0,10.0,3,-0.5751031048819688,-0.10300010059013376
2024-06-25,2316.60009765625,3.333333333333333,1,-0.7511070426863498,0.2762627157887554
2024-06-26,2299.199951171875,-10.0,-3,1.1003848888927692,2.635703677070933
2024-06-27,2324.5,10.0,3,0.13766191318025367,2.7532802753280183
2024-06-28,2327.699951171875,3.333333333333333,1,-0.004289793260281449,1.1814237477710599
2024-07-01,2327.60009765625,-3.333333333333333,-1,-0.19763264578318562,1.3962879634145775
2024-07-02,2323.0,10.0,3,1.5841605177841167,2.117948823584803
2024-07-03,2359.800048828125,10.0,3,1.2162026687865923,2.339179168984562
2024-07-05,2388.5,10.0,3,-1.3941824922807156,1.067615658362997
2024-07-08,2355.199951171875,3.333333333333333,1,0.20805649566768558,2.874488475519432
2024-07-09,2360.10009765625,-3.333333333333333,-1,0.5126839123324123,4.334553639868544
2024-07-10,2372.199951171875,10.0,3,1.804234453633713,3.4820040197473867
2024-07-11,2415.0,10.0,3,-0.041407867494824835,1.5238115456780443
2024-07-12,2414.0,10.0,3,0.3686786389291541,-0.7663628831814373
2024-07-15,2422.89990234375,-3.333333333333333,-1,1.6302778320222977,-1.2753272355106149
2024-07-16,2462.39990234375,3.333333333333333,1,-0.3086360387031917,-2.347295605091815
2024-07-17,2454.800048828125,10.0,3,-0.12220954620854041,-1.6905653892182126
2024-07-18,2451.800048828125,-3.333333333333333,-1,-2.296274072391602,-4.074563361401506
2024-07-19,2395.5,-3.333333333333333,-1,-0.1461072844917588,-0.6470465456063446
2024-07-22,2392.0,3.333333333333333,1,0.5267599354619623,-0.6145464536737033
2024-07-23,2404.60009765625,3.333333333333333,1,0.36180449216294264,0.016630721430144213
2024-07-24,2413.300048828125,3.333333333333333,1,-2.544240054782676,0.5469668464261224
2024-07-25,2351.89990234375,3.333333333333333,1,1.1947828914082192,3.5333177901592627
2024-07-26,2380.0,10.0,3,-0.11344332654936728,1.9201660156249911
2024-07-29,2377.300048828125,3.333333333333333,1,1.1651853196036122,1.026370329474302
2024-07-30,2405.0,10.0,3,0.8939708939708968,-0.6611186005717307
2024-07-31,2426.5,10.0,3,0.35029878425716365,-1.483618380383267
2024-08-01,2435.0,3.333333333333333,1,-0.38193219006673607,-0.5256693563911674
2024-08-02,2425.699951171875,10.0,3,-0.9894051400877291,0.2638474095397969
2024-08-05,2401.699951171875,10.0,3,-0.5246222996955541,2.527374460005194
2024-08-06,2389.10009765625,-3.333333333333333,-1,0.058595382634796245,3.24807878881892
2024-08-07,2390.5,-3.333333333333333,-1,1.326080366947302,2.045593070225893
2024-08-08,2422.199951171875,-3.333333333333333,-1,0.4087254018639186,1.2757058503541474
2024-08-09,2432.10009765625,10.0,3,1.2458288504120008,2.7342624616513156
2024-08-12,2462.39990234375,3.333333333333333,1,0.17462837064086134,1.6000709895607645
2024-08-13,2466.699951171875,10.0,3,-1.1067438021862053,1.808087669319547
2024-08-14,2439.39990234375,3.333333333333333,1,0.5616215405820579,2.8285645143178773
2024-08-15,2453.10009765625,-3.333333333333333,-1,1.8547958986048663,1.0517224597622388
2024-08-16,2498.60009765625,10.0,3,0.1280697609383985,0.39221181079327483
2024-08-19,2501.800048828125,10.0,3,0.3797265894390778,0.6355384936217234
2024-08-20,2511.300048828125,10.0,3,-0.11548387002693339,0.18715211565691892
2024-08-21,2508.39990234375,10.0,3,-1.1760485229024398,-0.29500488884710574
2024-08-22,2478.89990234375,-3.333333333333333,-1,1.1900440179980043,1.8879362084720075
2024-08-23,2508.39990234375,10.0,3,0.3707562266860087,-0.5820385139539974
2024-08-26,2517.699951171875,-3.333333333333333,-1,-0.06752000654739465,-1.1041843494966619
2024-08-27,2516.0,3.333333333333333,1,-0.59618441971383,-0.8982550737778205
2024-08-28,2501.0,-3.333333333333333,-1,0.9876030056727325,0.41582976184526554
2024-08-29,2525.699951171875,-3.333333333333333,-1,-1.2630123514453473,-1.2748921801631563
2024-08-30,2493.800048828125,-3.333333333333333,-1,-0.15639371272799796,0.3207955667399842
2024-09-03,2489.89990234375,3.333333333333333,1,0.14056789980614326,0.8996404419024939
2024-09-04,2493.39990234375,10.0,3,0.7219058596689809,0.7499878096137724
2024-09-05,2511.39990234375,10.0,3,-0.7127459998324093,1.5847754390283297
2024-09-06,2493.5,3.333333333333333,1,0.3328674083868055,3.521156961224192
2024-09-09,2501.800048828125,3.333333333333333,1,0.4196978093800263,3.141732032199873
2024-09-10,2512.300048828125,3.333333333333333,1,-0.00795888898574848,2.0698164625780224
2024-09-11,2512.10009765625,-3.333333333333333,-1,1.5564608095077315,2.3327037632894454
2024-09-12,2551.199951171875,3.333333333333333,1,1.1798407899162866,1.442460392460454
2024-09-13,2581.300048828125,10.0,3,-0.03487182688365342,1.4953648466069946
2024-09-16,2580.39990234375,10.0,3,-0.6239286205599992,1.786548573900415
2024-09-17,2564.300048828125,-3.333333333333333,-1,0.24957696922693895,3.3888351865634103
2024-09-18,2570.699951171875,3.333333333333333,1,0.6729703643647111,3.442642147313091
2024-09-19,2588.0,-3.333333333333333,-1,1.2326082822160078,3.1646020998357782
2024-09-20,2619.89990234375,3.333333333333333,1,0.2519217490082548,0.9313388829300884
2024-09-23,2626.5,-3.333333333333333,-1,0.9404131418951023,0.36550914358461917
2024-09-24,2651.199951171875,10.0,3,0.3017501564325231,0.6072758732940331
2024-09-25,2659.199951171875,-3.333333333333333,-1,0.4023748258253246,-0.4550185671556073
2024-09-26,2669.89990234375,3.333333333333333,1,-0.9588319582000904,-0.4794114070068245
2024-09-27,2644.300048828125,10.0,3,-0.31009911963315595,0.05672578649555948
2024-09-30,2636.10009765625,-3.333333333333333,-1,1.1835647363927837,0.3300311387875565
2024-10-01,2667.300048828125,3.333333333333333,1,-0.7573182919840549,-1.9607861084508627
2024-10-02,2647.10009765625,-3.333333333333333,-1,0.3777718873892999,-1.552646146348613
2024-10-03,2657.10009765625,-3.333333333333333,-1,-0.4252774985064489,-1.3736780195896858
2024-10-04,2645.800048828125,-3.333333333333333,-1,-0.037795751059988,0.445991708003457
2024-10-07,2644.800048828125,-3.333333333333333,-1,-1.1267410873396222,0.11343012494759996
2024-10-08,2615.0,-3.333333333333333,-1,-0.34416826003823564,1.7743748506214185
2024-10-09,2606.0,-3.333333333333333,-1,0.5602493344685433,2.609363008442056
2024-10-10,2620.60009765625,-3.333333333333333,-1,1.4118903541632033,2.686403866301945
2024-10-11,2657.60009765625,10.0,3,-0.3687555865447112,2.110921562845358
2024-10-14,2647.800048828125,-3.333333333333333,-1,0.5136284184919404,2.843872174617257
2024-10-15,2661.39990234375,10.0,3,0.4734387209210489,3.111146459245284
2024-10-16,2674.0,3.333333333333333,1,0.6357516828721099,1.5108415237004458
2024-10-17,2691.0,-3.333333333333333,-1,0.843550768185608,1.6313601762820484
2024-10-18,2713.699951171875,10.0,3,0.3463959410956896,1.002319772314153
2024-10-21,2723.10009765625,-3.333333333333333,-1,0.7748467834063577,0.7271052835898795
2024-10-22,2744.199951171875,-3.333333333333333,-1,-1.0859284803718228,0.8818581591162999
2024-10-23,2714.39990234375,-3.333333333333333,-1,0.7552313858506743,2.7298887533951044
2024-10-24,2734.89990234375,10.0,3,0.21938645706405246,0.12432434845097706
2024-10-25,2740.89990234375,-3.333333333333333,-1,0.07296873549778038,-0.08390691996936761
2024-10-28,2742.89990234375,-3.333333333333333,-1,0.9296730069591863,-0.24790568119856804
2024-10-29,2768.39990234375,10.0,3,0.7260547018237196,-1.0150214747455921
2024-10-30,2788.5,10.0,3,-1.8002492799668257,-4.335660833557464
2024-10-31,2738.300048828125,3.333333333333333,1,0.01095748540242969,-1.4571137484166719
2024-11-01,2738.60009765625,-3.333333333333333,-1,-0.0912875159151394,-1.865920391224063
2024-11-04,2736.10009765625,10.0,3,0.15350137136695974,-4.5648968249138555
2024-11-05,2740.300048828125,10.0,3,-2.6529923685898793,-5.119879076312229
2024-11-06,2667.60009765625,-3.333333333333333,-1,1.154588527514333,-3.253862859893708
2024-11-07,2698.39990234375,10.0,3,-0.4039394729551615,-4.825079894895756
2024-11-08,2687.5,3.333333333333333,1,-2.8390715843023218,-4.532094840116274
2024-11-11,2611.199951171875,-10.0,-3,-0.4289197066983941,-0.022972331757120656
2024-11-12,2600.0,-10.0,-3,-0.7384596604567362,1.0423114483173013
2024-11-13,2580.800048828125,-10.0,-3,-0.488224481473154,2.6115894710384335
2024-11-14,2568.199951171875,-3.333333333333333,-1,-0.09734444542992549,4.045640855844002
2024-11-15,2565.699951171875,-10.0,-3,1.7500154865679907,5.620296757850118
2024-11-18,2610.60009765625,3.333333333333333,1,0.6320385881703361,0.2374914172967868
2024-11-19,2627.10009765625,3.333333333333333,1,0.8031613844653007,-0.2588423956206176
2024-11-20,2648.199951171875,-3.333333333333333,-1,0.9025053593026078,-0.3134222861250313
2024-11-21,2672.10009765625,-3.333333333333333,-1,1.414610355377599,-0.5651022455893218
2024-11-22,2709.89990234375,3.333333333333333,1,-3.4355458456271526,-2.7676299015743644
2024-11-25,2616.800048828125,3.333333333333333,1,0.13375114394267307,1.06618395839011
2024-11-26,2620.300048828125,-10.0,-3,0.7480003492115639,1.2784795395848647
2024-11-27,2639.89990234375,10.0,3,0.647755531983174,-0.5037995825406982
2024-11-29,2657.0,10.0,3,-0.8317688240967236,-0.692506674586002
2024-12-02,2634.89990234375,-10.0,-3,0.3719324904679633,1.1385631755238546
2024-12-03,2644.699951171875,3.333333333333333,1,0.34408809408483787,2.0002324445514086
2024-12-04,2653.800048828125,10.0,3,-1.0249435025779796,3.014545125030299
2024-12-05,2626.60009765625,-3.333333333333333,-1,0.45686437043490624,2.318582961985416
2024-12-06,2638.60009765625,3.333333333333333,1,0.9967332568076914,0.6594368869767608
2024-12-09,2664.89990234375,-3.333333333333333,-1,1.2270703032313035,-0.5065856315326078
2024-12-10,2697.60009765625,-3.333333333333333,-1,1.3419317119437668,-1.9721305377591647
2024-12-11,2733.800048828125,-3.333333333333333,-1,-1.6936150413770057,-3.5591501605918063
2024-12-12,2687.5,-3.333333333333333,-1,-1.1720930232558158,-3.5460483284883715
2024-12-13,2656.0,-3.333333333333333,-1,-0.17319644790098065,-1.0278632841914548
2024-12-16,2651.39990234375,10.0,3,-0.2640114753648559,-1.4746871447442578
2024-12-17,2644.39990234375,-3.333333333333333,-1,-0.29874083480143643,-0.9227009243996775
2024-12-18,2636.5,-10.0,-3,-1.6802597696994104,0.08723871906410885
2024-12-19,2592.199951171875,-10.0,-3,1.408070391464178,0.9644317749754716
2024-12-20,2628.699951171875,3.333333333333333,1,-0.6238788240719106,-0.8597349996354642
