date,dir,entry,exit,pnl,reason,score,bars,bear_period
2025-08-04,LONG,3376.4,3374.0777603974802,-933.3704454494933,SL,6.0,4,False
2025-08-05,LONG,3380.6,3377.168550059685,-905.3693320858993,SL,6.0,1,False
2025-08-06,LONG,3375.99,3375.86,-45.86398344006989,SESS,6.0,4,False
2025-08-07,LONG,3382.81,3382.01,-250.5245644849352,SESS,6.0,5,False
2025-08-15,SHORT,3332.43,3335.081976150732,-869.3165956856141,SL,-6.0,2,False
2025-08-15,SHORT,3334.84,3328.96,1914.8262923455668,SESS,-6.0,5,False
2025-08-21,LONG,3335.71,3332.9429926766265,-931.038422106847,SL,6.0,1,False
2025-08-21,LONG,3335.84,3333.5,-773.5670060163874,SESS,6.0,3,False
2025-08-22,LONG,3351.95,3359.92,1807.98194551778,SESS,2.0,3,False
2025-08-25,LONG,3360.29,3363.14,2103.1324951170313,SESS,10.0,4,False
2025-08-28,LONG,3404.02,3412.4480044523257,2526.325354287977,TP2,2.0,4,False
2025-09-03,LONG,3566.95,3573.87,2058.7366012817397,TIME,2.0,6,False
2025-09-04,LONG,3553.02,3548.513959194846,-1173.414395461238,SL,6.0,1,False
2025-09-04,LONG,3553.42,3559.78,1956.5698443885199,SESS,6.0,5,False
2025-09-05,LONG,3585.28,3594.25,1507.9662893047778,TIME,2.0,6,False
2025-09-08,LONG,3636.53,3642.43,2246.5968437981446,TIME,10.0,6,False
2025-09-11,LONG,3627.08,3636.45,2560.773472522006,TIME,10.0,6,False
2025-09-17,LONG,3694.2,3691.6705112544946,-1523.8189455030065,SL,6.0,1,False
2025-09-18,SHORT,3648.97,3644.36,1212.88409663116,TIME,-2.0,6,False
2025-09-18,SHORT,3645.75,3649.96,-1406.2956581085716,SESS,-2.0,3,False
2025-09-23,LONG,3785.14,3780.374384664276,-1472.3020302936254,SL,6.0,1,False
2025-09-26,LONG,3779.49,3784.68,1587.5775597361287,SESS,2.0,1,False
2025-09-29,LONG,3835.49,3839.84,1177.256438551683,TIME,6.0,6,False
2025-09-29,LONG,3836.95,3840.51,1296.4530438375216,SESS,6.0,0,False
2025-09-30,LONG,3845.17,3845.62,89.19737299418,TIME,10.0,6,False
2025-10-03,LONG,3879.68,3888.41,2106.7196675143814,TIME,6.0,6,False
2025-10-06,LONG,3960.16,3960.16,1939.0189102366137,SL,2.0,3,False
2025-10-07,LONG,3984.18,3997.11,3799.4177713215004,SESS,2.0,4,False
2025-10-08,LONG,4056.85,4076.474538756446,4676.970991031509,TP2,2.0,6,False
2025-10-13,LONG,4100.47,4115.25,3984.1743706099714,SESS,6.0,5,False
2025-10-14,LONG,4143.37,4161.26,5269.069452685994,SESS,2.0,2,False
2025-10-15,LONG,4218.79,4211.067578262068,-2335.59255206398,SL,6.0,4,False
2025-10-22,SHORT,4049.83,4063.898514544371,-2265.5247755021846,SL,-2.0,1,False
2025-10-27,SHORT,3990.16,3992.62,-477.3896247156098,SESS,-6.0,2,False
